[1][0m:0s][19704]              [OPEN DEBUG FILE]  Opening Debug File
[2][0m:0s][15]                      [AV_FileVar]  ============================================================================================
[3][0m:0s][4]                       [AV_FileVar]  Checking each LVLN entry for traits templating to new variants.  Duplicating and replacing
[4][0m:0s][3]                       [AV_FileVar]  ============================================================================================
[5][0m:0s][159]                     [AV_FileVar]    [NPC_ | 10EC86Skyrim.esm | EncDwarvenSpider01] replaced.
[6][0m:0s][12]                      [AV_FileVar]      Creating variants.
[7][0m:0s][1777]                    [AV_FileVar]    [NPC_ | 10EC87Skyrim.esm | EncDwarvenSpider03] replaced.
[8][0m:0s][8]                       [AV_FileVar]      Creating variants.
[9][0m:0s][1428]                    [AV_FileVar]  Modified [LVLN | 10EC90Skyrim.esm | LCharDwarvenSpider]
[10][0m:0s][6]                      [AV_FileVar]  ----------------------------------------------------------------
[11][0m:0s][26]                     [AV_FileVar]    [NPC_ | 10EC89Skyrim.esm | EncDwarvenSphere01] replaced.
[12][0m:0s][4]                      [AV_FileVar]      Creating variants.
[13][0m:0s][1259]                   [AV_FileVar]    [NPC_ | 10EC8ESkyrim.esm | EncDwarvenSphere03] replaced.
[14][0m:0s][8]                      [AV_FileVar]      Creating variants.
[15][0m:0s][1206]                   [AV_FileVar]  Modified [LVLN | 10EC8FSkyrim.esm | LCharDwarvenSphere]
[16][0m:0s][6]                      [AV_FileVar]  ----------------------------------------------------------------
[17][0m:0s][35]                     [AV_FileVar]    [NPC_ | 10C475Skyrim.esm | EncVigilantOfStendarr02NordM04] replaced.
[18][0m:0s][4]                      [AV_FileVar]      Creating variants.
[19][0m:0s][1962]                   [AV_FileVar]    [NPC_ | 10C47BSkyrim.esm | EncVigilantOfStendarr03NordM04] replaced.
[20][0m:0s][8]                      [AV_FileVar]      Creating variants.
[21][0m:0s][1709]                   [AV_FileVar]    [NPC_ | 10C482Skyrim.esm | EncVigilantOfStendarr04NordM04] replaced.
[22][0m:0s][8]                      [AV_FileVar]      Creating variants.
[23][0m:0s][1968]                   [AV_FileVar]    [NPC_ | 10C488Skyrim.esm | EncVigilantOfStendarr05NordM04] replaced.
[24][0m:0s][8]                      [AV_FileVar]      Creating variants.
[25][0m:0s][1738]                   [AV_FileVar]  Modified [LVLN | 10C467Skyrim.esm | LCharVigilantOfStendarrNordM04]
[26][0m:0s][7]                      [AV_FileVar]  ----------------------------------------------------------------
[27][0m:0s][28]                     [AV_FileVar]    [NPC_ | 10C474Skyrim.esm | EncVigilantOfStendarr02NordM03] replaced.
[28][0m:0s][5]                      [AV_FileVar]      Creating variants.
[29][0m:0s][1818]                   [AV_FileVar]    [NPC_ | 10C473Skyrim.esm | EncVigilantOfStendarr03NordM03] replaced.
[30][0m:0s][8]                      [AV_FileVar]      Creating variants.
[31][0m:0s][1719]                   [AV_FileVar]    [NPC_ | 10C481Skyrim.esm | EncVigilantOfStendarr04NordM03] replaced.
[32][0m:0s][8]                      [AV_FileVar]      Creating variants.
[33][0m:0s][2040]                   [AV_FileVar]    [NPC_ | 10C487Skyrim.esm | EncVigilantOfStendarr05NordM03] replaced.
[34][0m:0s][8]                      [AV_FileVar]      Creating variants.
[35][0m:0s][1687]                   [AV_FileVar]  Modified [LVLN | 10C466Skyrim.esm | LCharVigilantOfStendarrNordM03]
[36][0m:0s][7]                      [AV_FileVar]  ----------------------------------------------------------------
[37][0m:0s][27]                     [AV_FileVar]    [NPC_ | 10C472Skyrim.esm | EncVigilantOfStendarr02NordM02] replaced.
[38][0m:0s][5]                      [AV_FileVar]      Creating variants.
[39][0m:0s][1952]                   [AV_FileVar]    [NPC_ | 10C47ASkyrim.esm | EncVigilantOfStendarr03NordM02] replaced.
[40][0m:0s][8]                      [AV_FileVar]      Creating variants.
[41][0m:0s][1721]                   [AV_FileVar]    [NPC_ | 10C480Skyrim.esm | EncVigilantOfStendarr04NordM02] replaced.
[42][0m:0s][8]                      [AV_FileVar]      Creating variants.
[43][0m:0s][1751]                   [AV_FileVar]    [NPC_ | 10C486Skyrim.esm | EncVigilantOfStendarr05NordM02] replaced.
[44][0m:0s][8]                      [AV_FileVar]      Creating variants.
[45][0m:0s][1756]                   [AV_FileVar]  Modified [LVLN | 10C465Skyrim.esm | LCharVigilantOfStendarrNordM02]
[46][0m:0s][8]                      [AV_FileVar]  ----------------------------------------------------------------
[47][0m:0s][31]                     [AV_FileVar]    [NPC_ | 10C471Skyrim.esm | EncVigilantOfStendarr02NordM01] replaced.
[48][0m:0s][4]                      [AV_FileVar]      Creating variants.
[49][0m:0s][1714]                   [AV_FileVar]    [NPC_ | 10C479Skyrim.esm | EncVigilantOfStendarr03NordM01] replaced.
[50][0m:0s][8]                      [AV_FileVar]      Creating variants.
[51][0m:0s][1732]                   [AV_FileVar]    [NPC_ | 10C47FSkyrim.esm | EncVigilantOfStendarr04NordM01] replaced.
[52][0m:0s][8]                      [AV_FileVar]      Creating variants.
[53][0m:0s][1729]                   [AV_FileVar]    [NPC_ | 10C485Skyrim.esm | EncVigilantOfStendarr05NordM01] replaced.
[54][0m:0s][7]                      [AV_FileVar]      Creating variants.
[55][0m:0s][1976]                   [AV_FileVar]  Modified [LVLN | 10C464Skyrim.esm | LCharVigilantOfStendarrNordM01]
[56][0m:0s][7]                      [AV_FileVar]  ----------------------------------------------------------------
[57][0m:0s][30]                     [AV_FileVar]    [NPC_ | 10C470Skyrim.esm | EncVigilantOfStendarr02NordF] replaced.
[58][0m:0s][6]                      [AV_FileVar]      Creating variants.
[59][0m:0s][1804]                   [AV_FileVar]    [NPC_ | 10C478Skyrim.esm | EncVigilantOfStendarr03NordF] replaced.
[60][0m:0s][8]                      [AV_FileVar]      Creating variants.
[61][0m:0s][1850]                   [AV_FileVar]    [NPC_ | 10C47ESkyrim.esm | EncVigilantOfStendarr04NordF] replaced.
[62][0m:0s][9]                      [AV_FileVar]      Creating variants.
[63][0m:0s][1796]                   [AV_FileVar]    [NPC_ | 10C484Skyrim.esm | EncVigilantOfStendarr05NordF] replaced.
[64][0m:0s][9]                      [AV_FileVar]      Creating variants.
[65][0m:0s][1641]                   [AV_FileVar]  Modified [LVLN | 10C463Skyrim.esm | LCharVigilantOfStendarrNordF]
[66][0m:0s][7]                      [AV_FileVar]  ----------------------------------------------------------------
[67][0m:0s][29]                     [AV_FileVar]    [NPC_ | 10C46FSkyrim.esm | EncVigilantOfStendarr02DarkElfF] replaced.
[68][0m:0s][5]                      [AV_FileVar]      Creating variants.
[69][0m:0s][1642]                   [AV_FileVar]    [NPC_ | 10C477Skyrim.esm | EncVigilantOfStendarr03DarkElfF] replaced.
[70][0m:0s][8]                      [AV_FileVar]      Creating variants.
[71][0m:0s][1606]                   [AV_FileVar]    [NPC_ | 10C47DSkyrim.esm | EncVigilantOfStendarr04DarkElfF] replaced.
[72][0m:0s][8]                      [AV_FileVar]      Creating variants.
[73][0m:0s][1600]                   [AV_FileVar]    [NPC_ | 10C48ASkyrim.esm | EncVigilantOfStendarr05DarkElfF] replaced.
[74][0m:0s][7]                      [AV_FileVar]      Creating variants.
[75][0m:0s][1846]                   [AV_FileVar]  Modified [LVLN | 10C462Skyrim.esm | LCharVigilantOfStendarrDarkElfF]
