[1][0m:0s][2181]               [OPEN DEBUG FILE]  Opening Debug File
[2][0m:0s][13]                      [AV_FileVar]  ====================================================================================================
[3][0m:0s][4]                       [AV_FileVar]  Generating NPC duplicates for each ARMO skin.  Only NPCs that have skin directly without templating.
[4][0m:0s][4]                       [AV_FileVar]  ====================================================================================================
[5][0m:0s][208]                             [AV]      Skipping [NPC_ | 000EB2Skyrim.esm | dunTransmogrifyMudcrab] : Template with traits flag
[6][0m:0s][170]                             [AV]      Skipping [NPC_ | 10FC24Skyrim.esm | dunHonningbrewMeaderyencSkeever02] : Template with traits flag
[7][0m:0s][62]                      [AV_FileVar]  ---------------------------------------------------------------------------------------------------------
[8][0m:0s][11]                      [AV_FileVar]  | Duplicating [NPC_ | 10F7FDSkyrim.esm | TG05KarliahHorse], for [ARMO | 08650DSkyrim.esm | SkinHorseBlackHide]
[9][0m:0s][12926]                           [AV]  ---------------------------------------------------------------------------------------------------------
[10][0m:0s][24]                             [AV]      Skipping [NPC_ | 10F509Skyrim.esm | TreasCorpseWerewolfHanging] : Template with traits flag
[11][0m:0s][12]                             [AV]      Skipping [NPC_ | 10F2A4Skyrim.esm | EncBanditWolf_Indoor] : Template with traits flag
[12][0m:0s][22]                             [AV]      Skipping [NPC_ | 10F2A3Skyrim.esm | EncWolfIce_Indoor] : Template with traits flag
[13][0m:0s][9]                              [AV]      Skipping [NPC_ | 10F2A2Skyrim.esm | EncWolf_Indoor] : Template with traits flag
[14][0m:0s][467]                            [AV]      Skipping [NPC_ | 10BF90Skyrim.esm | WERoad12Horse] : Template with traits flag
[15][0m:0s][534]                            [AV]      Skipping [NPC_ | 109E41Skyrim.esm | MarkarthPlayerHorse] : Template with traits flag
[16][0m:0s][10]                             [AV]      Skipping [NPC_ | 109E40Skyrim.esm | RiftenPlayerHorse] : Template with traits flag
[17][0m:0s][9]                              [AV]      Skipping [NPC_ | 109E3ESkyrim.esm | SolitudePlayerHorse] : Template with traits flag
[18][0m:0s][8]                              [AV]      Skipping [NPC_ | 109E3DSkyrim.esm | WhiterunPlayerHorse] : Template with traits flag
[19][0m:0s][30]                             [AV]      Skipping [NPC_ | 109C1CSkyrim.esm | MQ101FrostbiteSpider] : Template with traits flag
[20][0m:0s][11]                             [AV]      Skipping [NPC_ | 109AB1Skyrim.esm | WindhelmPlayerHorse] : Template with traits flag
[21][0m:0s][180]                            [AV]      Skipping [NPC_ | 10982BSkyrim.esm | MarkarthStablesHorseUnsaddled] : Template with traits flag
[22][0m:0s][9]                              [AV]      Skipping [NPC_ | 10982ASkyrim.esm | RiftenStablesHorseUnsaddled] : Template with traits flag
[23][0m:0s][8]                              [AV]      Skipping [NPC_ | 109827Skyrim.esm | SolitudeStablesHorseUnsaddled] : Template with traits flag
[24][0m:0s][9]                              [AV]      Skipping [NPC_ | 109823Skyrim.esm | WindhelmStablesHorseUnsaddled] : Template with traits flag
[25][0m:0s][49]                             [AV]      Skipping [NPC_ | 10929FSkyrim.esm | dunTransmogrifyChicken] : Template with traits flag
[26][0m:0s][1005]                   [AV_FileVar]  ---------------------------------------------------------------------------------------------------------
[27][0m:0s][16]                     [AV_FileVar]  | Duplicating [NPC_ | 104F46Skyrim.esm | DA05EncWhiteStag], for [ARMO | 104F44Skyrim.esm | SkinWhiteStag]
[28][0m:0s][964]                            [AV]  ---------------------------------------------------------------------------------------------------------
[29][0m:0s][11]                             [AV]      Skipping [NPC_ | 102D73Skyrim.esm | CaravanCHorse] : Template with traits flag
[30][0m:0s][8]                              [AV]      Skipping [NPC_ | 102D72Skyrim.esm | CaravanBHorse] : Template with traits flag
[31][0m:0s][9]                              [AV]      Skipping [NPC_ | 102D71Skyrim.esm | CaravanAHorse] : Template with traits flag
[32][0m:0s][1092]                           [AV]      Skipping [NPC_ | 1019BDSkyrim.esm | LvlDraugrAmbushBossFemale] : Template w/o traits flag but templated to a LList.
[33][0m:0s][79]                             [AV]      Skipping [NPC_ | 1019BBSkyrim.esm | LvlDraugrAmbushWarlockFemale] : Template w/o traits flag but templated to a LList.
[34][0m:0s][45]                     [AV_FileVar]  ---------------------------------------------------------------------------------------------------------
[35][0m:0s][9]                      [AV_FileVar]  | Duplicating [NPC_ | 10195BSkyrim.esm | TG03SkeeverDead], for [ARMO | 016EE5Skyrim.esm | SkinSkeever]
[36][0m:0s][4090]                           [AV]  ---------------------------------------------------------------------------------------------------------
[37][0m:0s][18]                             [AV]      Skipping [NPC_ | 101581Skyrim.esm | EncMammothTamedNoAggro] : Template with traits flag
