[1][0m:0s][2600]               [OPEN DEBUG FILE]  Opening Debug File
[2][0m:0s][11]                      [AV_FileVar]  ===================================================
[3][0m:0s][4]                       [AV_FileVar]  Generating LVLNs loaded with NPC variants.
[4][0m:0s][3]                       [AV_FileVar]  ===================================================
[5][0m:0s][38]                      [AV_FileVar]  Generating for [NPC_ | 0E1022Skyrim.esm | EncWarlockIce04BossHighElfM]
[6][0m:0s][630]                     [AV_FileVar]    Generating 1 entries for [NPC_ | 001042Automatic Variants.esp | AV_OrigVar_EncWarlockIce04BossHighElfM]
[7][0m:0s][39]                      [AV_FileVar]  --------------------------------------------------
[8][0m:0s][18]                      [AV_FileVar]  Generating for [NPC_ | 064AB6Skyrim.esm | DA13EncAfflicted03TemplateMissile]
[9][0m:0s][41]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 000F4EAutomatic Variants.esp | AV_OrigVar_DA13EncAfflicted03TemplateMissile]
[10][0m:0s][6]                      [AV_FileVar]  --------------------------------------------------
[11][0m:0s][12]                     [AV_FileVar]  Generating for [NPC_ | 0E0FC7Skyrim.esm | EncWarlock03TemplateBossStorm]
[12][0m:0s][26]                     [AV_FileVar]    Generating 1 entries for [NPC_ | 00108AAutomatic Variants.esp | AV_OrigVar_EncWarlock03TemplateBossStorm]
[13][0m:0s][6]                      [AV_FileVar]  --------------------------------------------------
[14][0m:0s][11]                     [AV_FileVar]  Generating for [NPC_ | 0ABEDFSkyrim.esm | EncElkFemale]
[15][0m:0s][29]                     [AV_FileVar]    Generating 1 entries for [NPC_ | 003992Automatic Variants.esp | AV_BellyachesAnimals_Deer_Skin_Deer_EncElkFemale]
[16][0m:0s][8]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 0010D3Automatic Variants.esp | AV_OrigVar_EncElkFemale]
[17][0m:0s][5]                      [AV_FileVar]  --------------------------------------------------
[18][0m:0s][11]                     [AV_FileVar]  Generating for [NPC_ | 0388EBSkyrim.esm | EncDraugr03Melee2HHeadF01]
[19][0m:0s][45]                     [AV_FileVar]    Generating 1 entries for [NPC_ | 00292FAutomatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr01_EncDraugr03Melee2HHeadF01]
[20][0m:0s][8]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002930Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr02_EncDraugr03Melee2HHeadF01]
[21][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002931Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr03_EncDraugr03Melee2HHeadF01]
[22][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002932Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr04_EncDraugr03Melee2HHeadF01]
[23][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002933Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr05_EncDraugr03Melee2HHeadF01]
[24][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002934Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr06_EncDraugr03Melee2HHeadF01]
[25][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002935Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr07_EncDraugr03Melee2HHeadF01]
[26][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002936Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr08_EncDraugr03Melee2HHeadF01]
[27][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002937Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr09_EncDraugr03Melee2HHeadF01]
[28][0m:0s][8]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002938Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr10_EncDraugr03Melee2HHeadF01]
[29][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 002939Automatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr11_EncDraugr03Melee2HHeadF01]
[30][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 00293AAutomatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr12_EncDraugr03Melee2HHeadF01]
[31][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 00293BAutomatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr13_EncDraugr03Melee2HHeadF01]
[32][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 00293CAutomatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr14_EncDraugr03Melee2HHeadF01]
[33][0m:0s][8]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 00293DAutomatic Variants.esp | AV_StarXAVPackage_Draugr_Skin_STXDraugr15_EncDraugr03Melee2HHeadF01]
[34][0m:0s][7]                      [AV_FileVar]    Generating 1 entries for [NPC_ | 001450Automatic Variants.esp | AV_OrigVar_EncDraugr03Melee2HHeadF01]
[35][0m:0s][5]                      [AV_FileVar]  --------------------------------------------------
[36][0m:0s][14]                     [AV_FileVar]  Generating for [NPC_ | 039D70Skyrim.esm | EncBandit06MissileWoodElfM]
[37][0m:0s][26]                     [AV_FileVar]    Generating 1 entries for [NPC_ | 001505Automatic Variants.esp | AV_OrigVar_EncBandit06MissileWoodElfM]
